,date,hour_of_day,S_wait_time,SE_wait_time
3356,2015-08-31,9.0,11.25,5.0
3357,2015-08-31,10.0,50.36,10.0
3358,2015-08-31,11.0,38.0,15.0
3359,2015-08-31,12.0,50.0,10.0
3360,2015-08-31,13.0,37.5,5.0
3361,2015-08-31,14.0,31.5,5.0
3362,2015-08-31,15.0,39.38,5.0
3363,2015-08-31,16.0,33.33,5.0
3364,2015-08-31,17.0,17.14,5.0
3365,2015-08-31,18.0,16.0,5.0
3366,2015-08-31,19.0,12.22,5.0
3367,2015-08-31,20.0,10.0,5.0
3371,2015-09-01,9.0,10.0,6.67
3372,2015-09-01,10.0,41.67,10.0
3373,2015-09-01,11.0,37.22,15.0
3374,2015-09-01,12.0,40.0,20.0
3375,2015-09-01,13.0,34.5,8.33
3376,2015-09-01,14.0,35.0,5.0
3377,2015-09-01,15.0,35.0,5.0
3378,2015-09-01,16.0,35.0,5.0
3379,2015-09-01,17.0,34.44,5.0
3380,2015-09-01,18.0,13.12,5.0
3381,2015-09-01,19.0,23.89,5.0
3382,2015-09-01,20.0,10.0,5.0
3385,2015-09-02,9.0,10.0,5.0
3386,2015-09-02,10.0,10.0,5.0
3387,2015-09-02,11.0,22.5,5.91
3388,2015-09-02,12.0,20.0,10.0
3389,2015-09-02,13.0,26.11,10.0
3390,2015-09-02,14.0,17.69,5.56
3391,2015-09-02,15.0,11.67,5.0
3392,2015-09-02,16.0,10.0,5.0
3393,2015-09-02,17.0,10.0,5.0
3394,2015-09-02,18.0,10.0,5.0
3395,2015-09-02,19.0,15.0,5.0
3396,2015-09-02,20.0,9.0,5.0
3399,2015-09-03,9.0,10.0,5.0
3400,2015-09-03,10.0,11.36,5.0
3401,2015-09-03,11.0,33.18,5.0
3402,2015-09-03,12.0,32.0,5.0
3403,2015-09-03,13.0,39.0,5.0
3404,2015-09-03,14.0,14.0,5.0
3405,2015-09-03,15.0,13.0,5.0
3406,2015-09-03,16.0,24.44,5.0
3407,2015-09-03,17.0,19.44,5.0
3408,2015-09-03,18.0,16.0,5.0
3409,2015-09-03,19.0,11.82,5.0
3410,2015-09-03,20.0,10.0,5.0
3413,2015-09-04,9.0,10.0,5.0
3414,2015-09-04,10.0,17.0,7.22
3415,2015-09-04,11.0,45.71,16.88
3416,2015-09-04,12.0,47.22,20.0
3417,2015-09-04,13.0,42.78,12.5
3418,2015-09-04,14.0,47.78,5.0
3419,2015-09-04,15.0,40.0,5.0
3420,2015-09-04,16.0,54.44,5.0
3421,2015-09-04,17.0,46.11,5.0
3422,2015-09-04,18.0,34.44,5.0
3423,2015-09-04,19.0,43.5,5.0
3424,2015-09-04,20.0,32.08,5.0
3428,2015-09-05,11.0,72.86,28.57
3429,2015-09-05,12.0,53.33,28.12
3430,2015-09-05,13.0,53.33,15.0
3431,2015-09-05,14.0,63.33,15.0
3432,2015-09-05,15.0,55.0,15.0
3433,2015-09-05,16.0,75.0,15.0
3434,2015-09-05,17.0,56.25,8.89
3435,2015-09-05,18.0,59.44,15.0
3436,2015-09-05,19.0,51.11,11.67
3437,2015-09-05,20.0,37.5,10.0
3440,2015-09-06,9.0,28.46,6.11
3441,2015-09-06,10.0,68.75,18.89
3442,2015-09-06,11.0,81.67,37.78
3443,2015-09-06,12.0,57.78,38.0
3444,2015-09-06,13.0,78.89,20.0
3445,2015-09-06,14.0,90.0,20.0
3446,2015-09-06,15.0,75.0,16.11
3447,2015-09-06,16.0,64.44,17.78
3448,2015-09-06,17.0,69.17,24.29
3449,2015-09-06,18.0,58.5,15.0
3450,2015-09-06,19.0,94.55,12.78
3451,2015-09-06,20.0,64.44,10.56
3454,2015-09-07,9.0,45.0,7.22
3455,2015-09-07,10.0,58.12,21.67
3456,2015-09-07,11.0,62.5,20.56
3457,2015-09-07,12.0,62.0,20.0
3458,2015-09-07,13.0,52.0,13.33
3459,2015-09-07,14.0,53.0,9.44
3460,2015-09-07,15.0,52.22,5.0
3461,2015-09-07,16.0,53.75,5.0
3462,2015-09-07,17.0,38.12,5.0
3463,2015-09-07,18.0,38.12,5.0
3464,2015-09-07,19.0,38.33,5.0
3465,2015-09-07,20.0,11.88,5.0
3469,2015-09-08,9.0,13.12,8.5
3470,2015-09-08,10.0,49.17,20.0
3471,2015-09-08,11.0,43.75,22.0
3472,2015-09-08,12.0,37.78,16.67
3473,2015-09-08,13.0,40.56,7.5
3474,2015-09-08,14.0,37.78,5.0
3475,2015-09-08,15.0,40.91,5.0
3476,2015-09-08,16.0,38.5,5.0
3477,2015-09-08,17.0,28.5,5.0
3478,2015-09-08,18.0,29.44,5.0
3479,2015-09-08,19.0,27.78,5.0
3480,2015-09-08,20.0,12.22,5.0
3483,2015-09-09,9.0,10.0,5.0
3484,2015-09-09,10.0,25.0,8.33
3485,2015-09-09,11.0,35.56,15.56
3486,2015-09-09,12.0,45.0,16.11
3487,2015-09-09,13.0,34.44,10.0
3488,2015-09-09,14.0,33.33,5.56
3489,2015-09-09,15.0,30.56,5.0
3490,2015-09-09,16.0,40.5,5.0
3491,2015-09-09,17.0,33.75,5.0
3492,2015-09-09,18.0,25.56,5.0
3493,2015-09-09,19.0,23.33,5.0
3494,2015-09-09,20.0,15.62,5.0
3496,2015-09-10,9.0,14.0,5.0
3497,2015-09-10,10.0,27.73,7.22
3498,2015-09-10,11.0,41.11,23.5
3499,2015-09-10,12.0,41.88,17.5
3500,2015-09-10,13.0,39.44,5.0
3501,2015-09-10,14.0,33.12,5.0
3502,2015-09-10,15.0,31.88,5.0
3503,2015-09-10,16.0,42.78,5.0
3504,2015-09-10,17.0,15.5,5.0
3505,2015-09-10,18.0,26.25,5.0
3506,2015-09-10,19.0,20.56,5.0
3507,2015-09-10,20.0,6.36,5.0
3510,2015-09-11,9.0,23.75,
3511,2015-09-11,10.0,56.11,12.86
3512,2015-09-11,11.0,58.33,34.44
3513,2015-09-11,12.0,49.38,34.38
3514,2015-09-11,13.0,50.62,16.11
3515,2015-09-11,14.0,45.0,15.0
3516,2015-09-11,15.0,41.5,16.5
3517,2015-09-11,16.0,65.5,8.5
3518,2015-09-11,17.0,47.5,10.0
3519,2015-09-11,18.0,50.0,14.0
3520,2015-09-11,19.0,47.5,13.33
3521,2015-09-11,20.0,30.0,10.56
3526,2015-09-12,9.0,10.56,5.0
3527,2015-09-12,10.0,42.5,8.0
3528,2015-09-12,11.0,66.0,20.0
3529,2015-09-12,12.0,55.56,20.0
3530,2015-09-12,13.0,56.25,10.0
3531,2015-09-12,14.0,64.38,11.88
3532,2015-09-12,15.0,54.0,12.0
3533,2015-09-12,16.0,59.44,15.62
3534,2015-09-12,17.0,59.38,13.12
3535,2015-09-12,18.0,57.86,9.29
3536,2015-09-12,19.0,52.5,12.5
3537,2015-09-12,20.0,30.71,7.86
3539,2015-09-13,9.0,16.67,5.56
3540,2015-09-13,10.0,61.0,15.56
3541,2015-09-13,11.0,51.11,22.22
3542,2015-09-13,12.0,45.62,13.89
3543,2015-09-13,13.0,46.67,12.14
3544,2015-09-13,14.0,37.78,8.33
3545,2015-09-13,15.0,46.82,6.67
3546,2015-09-13,16.0,46.88,5.0
3547,2015-09-13,17.0,43.57,5.0
3548,2015-09-13,18.0,38.46,5.0
3549,2015-09-13,19.0,40.0,5.0
3550,2015-09-13,20.0,14.38,5.0
3553,2015-09-14,9.0,34.5,8.75
3554,2015-09-14,10.0,65.91,24.09
3555,2015-09-14,11.0,62.22,25.0
3556,2015-09-14,12.0,55.45,20.0
3557,2015-09-14,13.0,50.0,22.0
3558,2015-09-14,14.0,54.38,7.0
3559,2015-09-14,15.0,53.0,5.0
3560,2015-09-14,16.0,51.67,5.0
3561,2015-09-14,17.0,43.5,5.56
3562,2015-09-14,18.0,47.22,5.0
3563,2015-09-14,19.0,42.78,5.0
3564,2015-09-14,20.0,12.73,5.0
3567,2015-09-15,9.0,24.5,9.44
3568,2015-09-15,10.0,40.0,21.67
3569,2015-09-15,11.0,50.5,25.0
3570,2015-09-15,12.0,64.44,36.25
3571,2015-09-15,13.0,53.18,12.5
3572,2015-09-15,14.0,46.25,15.56
3573,2015-09-15,15.0,43.89,6.0
3574,2015-09-15,16.0,44.29,5.0
3575,2015-09-15,17.0,47.5,5.0
3576,2015-09-15,18.0,43.89,5.0
3577,2015-09-15,19.0,39.44,5.0
3578,2015-09-15,20.0,21.5,5.0
3581,2015-09-16,9.0,10.0,5.45
3582,2015-09-16,10.0,40.0,10.0
3583,2015-09-16,11.0,52.78,17.5
3584,2015-09-16,12.0,47.78,13.33
3585,2015-09-16,13.0,42.5,7.5
3586,2015-09-16,14.0,42.22,5.0
3587,2015-09-16,15.0,38.33,5.0
3588,2015-09-16,16.0,40.0,5.0
3589,2015-09-16,17.0,43.33,5.0
3590,2015-09-16,18.0,31.67,5.0
3591,2015-09-16,19.0,25.0,5.0
3592,2015-09-16,20.0,13.0,5.0
3595,2015-09-17,9.0,26.67,5.0
3596,2015-09-17,10.0,43.33,11.0
3597,2015-09-17,11.0,52.27,19.0
3598,2015-09-17,12.0,44.58,12.78
3599,2015-09-17,13.0,42.5,5.0
3600,2015-09-17,14.0,34.55,5.0
3601,2015-09-17,15.0,43.5,5.0
3602,2015-09-17,16.0,42.5,5.0
3603,2015-09-17,17.0,38.0,5.0
3604,2015-09-17,18.0,32.0,5.0
3605,2015-09-17,19.0,40.0,5.0
3606,2015-09-17,20.0,24.55,5.0
3609,2015-09-18,9.0,14.0,5.0
3610,2015-09-18,10.0,51.11,15.0
3611,2015-09-18,11.0,58.89,16.11
3612,2015-09-18,12.0,77.5,26.67
3613,2015-09-18,13.0,81.67,12.0
3614,2015-09-18,14.0,59.55,7.78
3615,2015-09-18,15.0,70.5,6.36
3616,2015-09-18,16.0,68.0,5.0
3617,2015-09-18,17.0,60.0,6.67
3618,2015-09-18,18.0,53.5,6.67
3619,2015-09-18,19.0,47.73,7.5
3620,2015-09-18,20.0,33.33,6.67
3625,2015-09-19,9.0,11.54,5.56
3626,2015-09-19,10.0,46.11,11.67
3627,2015-09-19,11.0,60.62,21.11
3628,2015-09-19,12.0,44.0,21.11
3629,2015-09-19,13.0,45.0,16.43
3630,2015-09-19,14.0,51.67,7.0
3631,2015-09-19,15.0,47.0,7.5
3632,2015-09-19,16.0,50.0,5.0
3633,2015-09-19,17.0,53.0,5.0
3634,2015-09-19,18.0,48.0,5.0
3635,2015-09-19,19.0,47.22,5.0
3636,2015-09-19,20.0,10.0,5.0
3639,2015-09-20,9.0,17.22,5.0
3640,2015-09-20,10.0,51.43,15.0
3641,2015-09-20,11.0,58.67,28.0
3642,2015-09-20,12.0,56.67,25.0
3643,2015-09-20,13.0,70.56,18.89
3644,2015-09-20,14.0,69.44,15.0
3645,2015-09-20,15.0,54.44,11.67
3646,2015-09-20,16.0,56.5,15.0
3647,2015-09-20,17.0,64.44,7.22
3648,2015-09-20,18.0,51.67,6.67
3649,2015-09-20,19.0,48.33,9.44
3650,2015-09-20,20.0,36.11,10.0
3655,2015-09-21,9.0,31.15,5.0
3656,2015-09-21,10.0,71.0,
3657,2015-09-21,11.0,114.44,25.0
3658,2015-09-21,12.0,57.22,22.14
3659,2015-09-21,13.0,46.25,20.0
3660,2015-09-21,14.0,50.56,23.12
3661,2015-09-21,15.0,47.0,21.67
3662,2015-09-21,16.0,58.33,15.0
3663,2015-09-21,17.0,56.67,10.56
3664,2015-09-21,18.0,35.5,5.0
3665,2015-09-21,19.0,43.33,5.0
3666,2015-09-21,20.0,14.44,5.0
3670,2015-09-22,9.0,25.56,7.5
3671,2015-09-22,10.0,52.78,19.44
3672,2015-09-22,11.0,70.0,30.0
3673,2015-09-22,12.0,57.5,23.33
3674,2015-09-22,13.0,54.29,12.86
3675,2015-09-22,14.0,38.33,10.0
3676,2015-09-22,15.0,50.56,5.5
3677,2015-09-22,16.0,52.22,5.0
3678,2015-09-22,17.0,50.56,5.0
3679,2015-09-22,18.0,40.56,5.0
3680,2015-09-22,19.0,45.56,5.0
3681,2015-09-22,20.0,28.89,5.0
3684,2015-09-23,9.0,19.44,5.0
3685,2015-09-23,10.0,48.89,12.14
3686,2015-09-23,11.0,46.5,20.0
3687,2015-09-23,12.0,46.67,17.22
3688,2015-09-23,13.0,93.89,8.33
3689,2015-09-23,14.0,47.5,5.0
3690,2015-09-23,15.0,47.22,5.0
3691,2015-09-23,16.0,46.67,5.0
3692,2015-09-23,17.0,55.56,5.0
3693,2015-09-23,18.0,38.89,5.0
3694,2015-09-23,19.0,32.5,5.0
3695,2015-09-23,20.0,16.67,5.0
3697,2015-09-24,9.0,28.89,5.0
3698,2015-09-24,10.0,52.78,12.22
3699,2015-09-24,11.0,53.89,23.89
3700,2015-09-24,12.0,58.0,22.78
3701,2015-09-24,13.0,52.22,7.22
3702,2015-09-24,14.0,43.33,11.67
3703,2015-09-24,15.0,46.25,9.38
3704,2015-09-24,16.0,60.56,5.0
3705,2015-09-24,17.0,40.0,5.0
3706,2015-09-24,18.0,34.44,5.0
3707,2015-09-24,19.0,32.22,5.0
3708,2015-09-24,20.0,31.25,5.0
3711,2015-09-25,9.0,43.08,7.78
3712,2015-09-25,10.0,81.25,25.0
3713,2015-09-25,11.0,77.0,34.09
3714,2015-09-25,12.0,73.89,26.11
3715,2015-09-25,13.0,56.0,16.36
3716,2015-09-25,14.0,72.78,10.0
3717,2015-09-25,15.0,85.62,8.12
3718,2015-09-25,16.0,79.5,8.33
3719,2015-09-25,17.0,61.67,7.22
3720,2015-09-25,18.0,53.5,7.0
3721,2015-09-25,19.0,70.0,18.89
3722,2015-09-25,20.0,49.0,6.11
3723,2015-09-25,21.0,22.5,5.0
3725,2015-09-26,9.0,47.5,6.11
3726,2015-09-26,10.0,73.33,19.5
3727,2015-09-26,11.0,82.5,30.0
3728,2015-09-26,12.0,65.0,30.0
3729,2015-09-26,13.0,63.89,20.91
3730,2015-09-26,14.0,70.0,15.0
3731,2015-09-26,15.0,79.44,18.0
3732,2015-09-26,16.0,83.75,15.62
3733,2015-09-26,17.0,63.89,15.71
3734,2015-09-26,18.0,56.11,16.0
3735,2015-09-26,19.0,52.78,12.5
3736,2015-09-26,20.0,70.56,14.44
3737,2015-09-26,21.0,24.38,5.0
3741,2015-09-27,9.0,39.09,8.33
3742,2015-09-27,10.0,52.22,18.89
3743,2015-09-27,11.0,61.88,24.44
3744,2015-09-27,12.0,60.56,16.88
3745,2015-09-27,13.0,51.67,8.33
3746,2015-09-27,14.0,51.11,8.0
3747,2015-09-27,15.0,44.0,5.0
3748,2015-09-27,16.0,56.88,6.88
3749,2015-09-27,17.0,47.0,7.22
3750,2015-09-27,18.0,39.38,5.0
3751,2015-09-27,19.0,46.5,8.33
3752,2015-09-27,20.0,25.0,7.22
3754,2015-09-28,9.0,48.08,9.44
3755,2015-09-28,10.0,49.09,20.71
3756,2015-09-28,11.0,71.11,28.89
3757,2015-09-28,12.0,58.89,17.0
3758,2015-09-28,13.0,60.0,9.44
3759,2015-09-28,14.0,52.22,5.0
3760,2015-09-28,15.0,49.58,5.0
3761,2015-09-28,16.0,59.58,5.0
3762,2015-09-28,17.0,63.33,5.0
3763,2015-09-28,18.0,45.0,5.0
3764,2015-09-28,19.0,44.44,5.0
3765,2015-09-28,20.0,22.5,5.0
3768,2015-09-29,9.0,28.0,7.78
3769,2015-09-29,10.0,51.43,20.0
3770,2015-09-29,11.0,70.62,28.12
3771,2015-09-29,12.0,66.36,22.0
3772,2015-09-29,13.0,49.38,8.12
3773,2015-09-29,14.0,55.0,7.78
3774,2015-09-29,15.0,63.57,6.43
3775,2015-09-29,16.0,45.56,5.0
3776,2015-09-29,17.0,50.71,8.0
3777,2015-09-29,18.0,46.11,7.5
3778,2015-09-29,19.0,40.56,5.0
3779,2015-09-29,20.0,27.22,5.0
3785,2015-09-30,9.0,26.67,6.11
3786,2015-09-30,10.0,41.07,18.0
3787,2015-09-30,11.0,64.5,30.5
3788,2015-09-30,12.0,59.5,19.0
3789,2015-09-30,13.0,51.67,10.91
3790,2015-09-30,14.0,52.78,10.0
3791,2015-09-30,15.0,63.33,6.5
3792,2015-09-30,16.0,47.22,5.0
3793,2015-09-30,17.0,50.0,5.0
3794,2015-09-30,18.0,49.0,5.0
3795,2015-09-30,19.0,41.67,5.0
3796,2015-09-30,20.0,25.0,5.0
3799,2015-10-01,9.0,33.67,5.0
3800,2015-10-01,10.0,45.42,15.0
3801,2015-10-01,11.0,55.0,21.67
3802,2015-10-01,12.0,57.5,16.25
3803,2015-10-01,13.0,46.11,8.89
3804,2015-10-01,14.0,43.33,6.67
3805,2015-10-01,15.0,46.11,5.0
3806,2015-10-01,16.0,56.11,5.0
3807,2015-10-01,17.0,45.0,5.0
3808,2015-10-01,18.0,44.44,5.0
3809,2015-10-01,19.0,38.12,5.0
3810,2015-10-01,20.0,21.67,5.0
3813,2015-10-02,9.0,26.67,5.0
3814,2015-10-02,10.0,53.64,18.12
3815,2015-10-02,11.0,57.5,23.0
3816,2015-10-02,12.0,51.5,17.78
3817,2015-10-02,13.0,57.78,6.0
3818,2015-10-02,14.0,53.33,5.5
3819,2015-10-02,15.0,58.64,5.56
3820,2015-10-02,16.0,62.0,5.0
3821,2015-10-02,17.0,44.33,5.91
3822,2015-10-02,18.0,59.67,5.56
3823,2015-10-02,19.0,50.5,9.55
3824,2015-10-02,20.0,54.5,9.0
3825,2015-10-02,21.0,16.82,5.0
3828,2015-10-03,9.0,34.58,6.11
3829,2015-10-03,10.0,65.0,23.64
3830,2015-10-03,11.0,72.0,27.5
3831,2015-10-03,12.0,65.0,20.0
3832,2015-10-03,13.0,61.25,21.25
3833,2015-10-03,14.0,67.78,11.5
3834,2015-10-03,15.0,63.75,15.0
3835,2015-10-03,16.0,59.38,23.89
3836,2015-10-03,17.0,55.71,11.25
3837,2015-10-03,18.0,62.0,12.78
3838,2015-10-03,19.0,62.14,17.78
3839,2015-10-03,20.0,57.5,17.22
3840,2015-10-03,21.0,36.25,13.75
3843,2015-10-04,9.0,29.5,5.56
3844,2015-10-04,10.0,65.56,16.11
3845,2015-10-04,11.0,68.0,20.0
3846,2015-10-04,12.0,60.0,20.56
3847,2015-10-04,13.0,49.38,12.5
3848,2015-10-04,14.0,62.86,7.14
3849,2015-10-04,15.0,55.62,5.0
3850,2015-10-04,16.0,58.89,5.0
3851,2015-10-04,17.0,57.22,7.22
3852,2015-10-04,18.0,44.44,5.0
3853,2015-10-04,19.0,47.22,5.0
3854,2015-10-04,20.0,23.89,5.0
3857,2015-10-05,9.0,41.5,6.88
3858,2015-10-05,10.0,78.89,22.22
3859,2015-10-05,11.0,71.5,32.78
3860,2015-10-05,12.0,69.44,20.56
3861,2015-10-05,13.0,64.29,10.71
3862,2015-10-05,14.0,70.0,10.0
3863,2015-10-05,15.0,82.22,8.89
3864,2015-10-05,16.0,59.0,15.5
3865,2015-10-05,17.0,64.44,8.33
3866,2015-10-05,18.0,68.12,5.0
3867,2015-10-05,19.0,51.67,5.0
3868,2015-10-05,20.0,16.67,5.0
3872,2015-10-06,9.0,36.0,6.88
3873,2015-10-06,10.0,55.5,24.29
3874,2015-10-06,11.0,78.33,30.0
3875,2015-10-06,12.0,74.44,32.0
3876,2015-10-06,13.0,87.14,12.14
3877,2015-10-06,14.0,72.22,7.78
3878,2015-10-06,15.0,87.86,5.0
3879,2015-10-06,16.0,73.12,8.12
3880,2015-10-06,17.0,81.67,5.0
3881,2015-10-06,18.0,63.75,5.0
3882,2015-10-06,19.0,80.0,8.75
3883,2015-10-06,20.0,24.44,5.0
3886,2015-10-07,9.0,33.33,6.11
3887,2015-10-07,10.0,61.0,21.5
3888,2015-10-07,11.0,67.22,29.44
3889,2015-10-07,12.0,66.67,27.5
3890,2015-10-07,13.0,58.33,16.11
3891,2015-10-07,14.0,54.38,8.75
3892,2015-10-07,15.0,50.0,5.0
3893,2015-10-07,16.0,56.0,6.11
3894,2015-10-07,17.0,52.78,5.0
3895,2015-10-07,18.0,41.11,5.0
3896,2015-10-07,19.0,40.0,5.0
3897,2015-10-07,20.0,32.22,5.0
3900,2015-10-08,9.0,40.0,7.0
3901,2015-10-08,10.0,67.78,27.0
3902,2015-10-08,11.0,66.67,34.09
3903,2015-10-08,12.0,72.5,25.0
3904,2015-10-08,13.0,70.56,16.67
3905,2015-10-08,14.0,74.44,18.33
3906,2015-10-08,15.0,65.56,9.44
3907,2015-10-08,16.0,81.11,12.78
3908,2015-10-08,17.0,76.11,10.0
3909,2015-10-08,18.0,55.0,6.0
3910,2015-10-08,19.0,62.5,5.0
3911,2015-10-08,20.0,53.75,5.0
3916,2015-10-09,9.0,42.0,5.0
3917,2015-10-09,10.0,77.22,18.75
3918,2015-10-09,11.0,77.22,25.0
3919,2015-10-09,12.0,73.12,21.67
3920,2015-10-09,13.0,76.82,21.0
3921,2015-10-09,14.0,67.22,18.0
3922,2015-10-09,15.0,63.89,11.67
3923,2015-10-09,16.0,60.56,10.0
3924,2015-10-09,17.0,71.67,10.5
3925,2015-10-09,18.0,60.5,8.89
3926,2015-10-09,19.0,80.71,7.14
3927,2015-10-09,20.0,59.44,6.88
3928,2015-10-09,21.0,36.25,8.18
3930,2015-10-10,9.0,58.5,5.0
3931,2015-10-10,10.0,86.25,22.5
3932,2015-10-10,11.0,74.0,30.0
3933,2015-10-10,12.0,68.89,28.75
3934,2015-10-10,13.0,80.0,21.11
3935,2015-10-10,14.0,73.33,15.56
3936,2015-10-10,15.0,77.5,16.67
3937,2015-10-10,16.0,83.57,17.22
3938,2015-10-10,17.0,60.0,19.29
3939,2015-10-10,18.0,67.78,15.0
3940,2015-10-10,19.0,52.5,13.33
3941,2015-10-10,20.0,55.56,13.33
3942,2015-10-10,21.0,31.25,5.0
3944,2015-10-11,9.0,38.21,11.43
3945,2015-10-11,10.0,96.67,33.89
3946,2015-10-11,11.0,100.62,33.75
3947,2015-10-11,12.0,112.5,34.38
3948,2015-10-11,13.0,92.78,23.33
3949,2015-10-11,14.0,72.22,22.0
3950,2015-10-11,15.0,90.0,26.88
3951,2015-10-11,16.0,96.11,22.5
3952,2015-10-11,17.0,79.0,20.0
3953,2015-10-11,18.0,62.78,16.88
3954,2015-10-11,19.0,55.0,15.0
3955,2015-10-11,20.0,47.86,9.29
3957,2015-10-12,9.0,63.5,8.75
3958,2015-10-12,10.0,108.33,30.0
3959,2015-10-12,11.0,112.14,38.57
3960,2015-10-12,12.0,82.5,36.25
3961,2015-10-12,13.0,92.0,24.0
3962,2015-10-12,14.0,91.67,15.0
3963,2015-10-12,15.0,73.33,15.0
3964,2015-10-12,16.0,108.0,16.25
3965,2015-10-12,17.0,97.14,20.71
3966,2015-10-12,18.0,82.22,16.11
3967,2015-10-12,19.0,74.38,13.12
3968,2015-10-12,20.0,56.88,15.0
3973,2015-10-13,9.0,73.12,15.56
3974,2015-10-13,10.0,79.29,32.86
3975,2015-10-13,11.0,87.5,35.0
3976,2015-10-13,12.0,104.09,31.0
3977,2015-10-13,13.0,98.33,23.0
3978,2015-10-13,14.0,75.0,13.33
3979,2015-10-13,15.0,99.0,12.0
3980,2015-10-13,16.0,85.0,21.25
3981,2015-10-13,17.0,68.89,13.89
3982,2015-10-13,18.0,70.0,8.75
3983,2015-10-13,19.0,64.38,12.5
3984,2015-10-13,20.0,41.88,5.0
3986,2015-10-14,10.0,95.0,25.0
3987,2015-10-14,11.0,115.5,37.5
3988,2015-10-14,12.0,86.25,23.57
3989,2015-10-14,13.0,65.0,23.89
3990,2015-10-14,14.0,68.75,13.33
3991,2015-10-14,15.0,70.0,10.0
3992,2015-10-14,16.0,68.89,8.0
3993,2015-10-14,17.0,65.0,5.0
3994,2015-10-14,18.0,52.5,5.0
3995,2015-10-14,19.0,53.57,5.0
3996,2015-10-14,20.0,36.88,5.0
4000,2015-10-15,9.0,84.44,8.12
4001,2015-10-15,10.0,86.5,27.5
4002,2015-10-15,11.0,96.43,40.0
4003,2015-10-15,12.0,80.62,35.0
4004,2015-10-15,13.0,80.71,18.75
4005,2015-10-15,14.0,81.88,17.86
4006,2015-10-15,15.0,90.0,18.89
4007,2015-10-15,16.0,87.5,13.75
4008,2015-10-15,17.0,76.43,22.14
4009,2015-10-15,18.0,79.17,12.5
4010,2015-10-15,19.0,65.0,8.89
4011,2015-10-15,20.0,59.38,10.0
4016,2015-10-16,9.0,57.5,6.67
4017,2015-10-16,10.0,79.17,25.0
4018,2015-10-16,11.0,76.11,33.12
4019,2015-10-16,12.0,96.25,31.82
4020,2015-10-16,13.0,86.82,30.56
4021,2015-10-16,14.0,77.86,15.0
4022,2015-10-16,15.0,94.29,21.43
4023,2015-10-16,16.0,85.0,19.38
4024,2015-10-16,17.0,80.0,12.14
4025,2015-10-16,18.0,68.75,18.0
4026,2015-10-16,19.0,81.67,17.22
4027,2015-10-16,20.0,56.25,21.88
4028,2015-10-16,21.0,48.89,9.44
4031,2015-10-17,9.0,61.43,9.29
4032,2015-10-17,10.0,80.45,27.78
4033,2015-10-17,11.0,82.0,36.67
4034,2015-10-17,12.0,65.91,26.11
4035,2015-10-17,13.0,71.36,17.5
4036,2015-10-17,14.0,62.5,17.5
4037,2015-10-17,15.0,68.12,20.0
4038,2015-10-17,16.0,67.78,18.12
4039,2015-10-17,17.0,70.56,19.44
4040,2015-10-17,18.0,60.0,15.5
4041,2015-10-17,19.0,71.11,12.22
4042,2015-10-17,20.0,50.62,13.75
4043,2015-10-17,21.0,37.5,5.0
4046,2015-10-18,9.0,36.92,8.33
4047,2015-10-18,10.0,77.78,25.0
4048,2015-10-18,11.0,93.75,33.33
4049,2015-10-18,12.0,78.33,35.0
4050,2015-10-18,13.0,87.78,23.0
4051,2015-10-18,14.0,62.5,17.0
4052,2015-10-18,15.0,76.88,12.5
4053,2015-10-18,16.0,70.91,16.25
4054,2015-10-18,17.0,76.67,13.75
4055,2015-10-18,18.0,60.0,7.22
4056,2015-10-18,19.0,53.0,12.5
4057,2015-10-18,20.0,30.0,5.0
4059,2015-10-19,9.0,68.5,10.0
4060,2015-10-19,10.0,92.5,28.12
4061,2015-10-19,11.0,91.88,31.67
4062,2015-10-19,12.0,87.22,30.0
4063,2015-10-19,13.0,77.5,23.33
4064,2015-10-19,14.0,66.5,15.56
4065,2015-10-19,15.0,83.33,17.0
4066,2015-10-19,16.0,83.64,18.33
4067,2015-10-19,17.0,90.0,11.88
4068,2015-10-19,18.0,51.67,6.25
4069,2015-10-19,19.0,70.0,5.0
4070,2015-10-19,20.0,45.0,5.0
4075,2015-10-20,9.0,40.56,11.11
4076,2015-10-20,10.0,68.12,27.5
4077,2015-10-20,11.0,69.29,32.14
4078,2015-10-20,12.0,72.5,23.75
4079,2015-10-20,13.0,75.0,15.0
4080,2015-10-20,14.0,75.0,14.5
4081,2015-10-20,15.0,65.62,7.5
4082,2015-10-20,16.0,70.0,6.88
4083,2015-10-20,17.0,65.71,7.5
4084,2015-10-20,18.0,53.89,5.0
4085,2015-10-20,19.0,65.56,5.0
4086,2015-10-20,20.0,43.57,5.0
4089,2015-10-21,9.0,50.0,8.0
4090,2015-10-21,10.0,66.25,23.33
4091,2015-10-21,11.0,74.38,28.33
4092,2015-10-21,12.0,67.78,27.78
4093,2015-10-21,13.0,71.43,18.12
4094,2015-10-21,14.0,58.89,11.11
4095,2015-10-21,15.0,58.5,5.56
4096,2015-10-21,16.0,49.38,10.0
4097,2015-10-21,17.0,62.22,6.11
4098,2015-10-21,18.0,42.5,5.0
4099,2015-10-21,19.0,47.0,5.0
4100,2015-10-21,20.0,25.0,5.0
4103,2015-10-22,9.0,35.0,5.0
4104,2015-10-22,10.0,69.17,23.33
4105,2015-10-22,11.0,85.0,23.12
4106,2015-10-22,12.0,94.58,23.89
4107,2015-10-22,13.0,57.14,15.0
4108,2015-10-22,14.0,82.5,12.5
